Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Fan_edited_Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Fan_edited_ethnicity,Website,Notes,Year,,
Manisha Bewtra,MA,Local,City Council,Melrose City Council,Mayor,,Legis,,D,D,Open Seat,No,Gail M. Infurna,D,9/17/2019,Lost,,Not in General,,F,Indian,Indian,https://www.manishaformelrose.com/,,2020,,
Jay Fathi ,WA,Local,City Council,Seattle City Council ,Councilmember,District 6,Legis,,N,N,Open Seat,No,,,8/6/2019,Lost,,Not in General,,M,Iranian ,Iranian ,https://jayforseattle.com/,,2020,,
Kim Nguyen,CA,Local,County Board of Supervisors,Orange County Board of Supervisors,Supervisor,District 1,Legis,,D,D,Challenger,Yes,Andrew Do,R,3/3/2020,Lost,11/3/2020,Not in General,,F,Vietnamese,Vietnamese,https://www.votekimnguyen.com/,,2020,,
Daud M. Panah,NJ,Local,City Council,Atlantic City City Council,Mayor,,Legis,,I,I,Open Seat,Yes,Marty Small Jr.,D,7/8/2021,Lost,11/2/2021,Not in General,,M,,Afghan,https://www.panahformayor.com/,,2021,https://health.usnews.com/doctors/daud-panah-586515,
Moumita Ahmed ,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Bangladeshi,Bangladeshi,https://secure.actblue.com/donate/moumita2021,,2021,,
Dilip Nath,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,Bangladeshi,https://www.facebook.com/dilipnathnyc/about/,,2021,,
Mirza M. Rashid,NY,Local,City Council,New York City Council,Councilmember,District 18,Legis,,D,D,Open Seat,No,Rub‚n D¡az Sr.,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,Bangladeshi,https://www.nabaraj2021.com/,,2021,,
Misba Abdin,NY,Local,City Council,New York City Council,Councilmember,District 37,Legis,,D,D,Open Seat,No,Rafael Espinal ,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,Bangladeshi,https://www.friendsofmisbaabdin.com/,,2021,,
Mohammed N Mujumder,NY,Local,City Council,New York City Council,Councilmember,District 18,Legis,,D,D,Open Seat,No,Rub‚n D¡az Sr.,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,Bangladeshi,https://www.facebook.com/mohammed.mujumder,,2021,,
Mohammed S. Uddin,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,Bangladeshi,https://www.mohammeduddin.com/,,2021,,
Badrun Khan,NY,Local,City Council,New York City Council,Councilmember,District 26,Legis,,D,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Bangladeshi ,Bangladeshi ,https://www.badrunkhan.com/,,2021,,
Helal Sheikh,NY,Local,City Council,New York City Council,Councilmember,District 32,Legis,,D,D,Open Seat,No,Erich Ulrich,R,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi ,Bangladeshi ,https://www.helalsheikh.com/,,2021,,
Mamnun Haq,NY,Local,City Council,New York City Council,Councilmember,District 39,Legis,,D,D,Open Seat,No,Brad Lander,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi ,Bangladeshi ,https://www.mamnunforcouncil.com/meet-mamnun,,2021,,
Jenny Low,NY,Local,City Council,New York City Council,Councilmember,District 1,Legis,,D,D,Open Seat,No,Margaret Chin,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Chinese,Chinese,https://www.jennylow.nyc/,,2021,,
Donghui Zang,NY,Local,City Council,New York City Council,Councilmember,District 29,Legis,,D,D,Open Seat,No,Karen Koslowitz,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,Chinese,https://www.facebook.com/Donghui-Zang-for-City-Council-100462605180539/,,2021,,
Edwin Wong,NY,Local,City Council,New York City Council,Councilmember,District 29,Legis,,D,D,Open Seat,No,Karen Koslowitz,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,Chinese,https://edwinwong4all.com/,,2021,,
Hailing Chen,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,Chinese,https://www.hailingchen.nyc/,,2021,,
Yu Lin,NY,Local,City Council,New York City Council,Councilmember,District 38,Legis,,D,D,Open Seat,No,Carlos Menchaca,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,Chinese,https://www.voteyulin2021.com/,,2021,,
Andrew Yang,NY,Local,City Council,New York City Council,Mayor,,Legis,,D,D,Open Seat,No,Bill de Blasio,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Chinese,Chinese,https://www.yangforny.com/,,2021,,
Andy Yi Chen,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,D,Open Seat,No,Danny Drom,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Chinese,Chinese,https://yichenfornewyork.com/,,2021,,
Dao Yin,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Chinese,Chinese,https://www.daoyin.nyc/,,2021,,
Marni Halasa,NY,Local,City Council,New York City Council,Councilmember,District 3,Legis,,D,D,Open Seat,No,Corey Johnson,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Filipino,Filipino,http://www.marniforcitycouncil.com/,,2021,,
Steven Raga,NV,Local,City Council,New York City Council,Councilmember,District 26 #3,Legis,,D,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Filipino,Filipino,https://www.ragaforqueens.com/,,2021,,
Gigi Li,NY,Local,City Council,New York City Council,Councilmember,District 1,Legis,,D,D,Open Seat,No,Margaret Chin,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Hong Kong,Hong Kong,https://www.gigili.nyc/,,2021,,
Vivian Song Maritz,NY,Local,City Council,New York City Council,Councilmember,District 1,Legis,,D,D,Open Seat,No,Margaret Chin,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Hong Kong,Hong Kong,https://www.susanleenyc.com/,https://nypost.com/2021/03/25/city-council-candidate-susan-lee-pushed-down-subway-stairs-in-attack/,2021,,
Deepti Sharma,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Indian,Indian,https://deeptisharma.com/,,2021,,
Neeta Jain,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Indian,Indian,https://www.facebook.com/neetajainfornewyork/,,2021,,
Reshma Patel,NY,Local,Comptroller,New York City Comptroller,Comptroller,,,,D,D,Open Seat,No,Scott Stringer,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Indian,Indian,https://www.reshma2021.com/,,2021,,
Koshy Thomas,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Indian,Indian,https://electkoshythomas.com/,,2021,,
Parminder Bhatti,WA,Local,County Council,Public Hospital District,Commissioner,Position 4,Legis,,,,,,,,8/3/2021,Lost,11/2/2021,Not in General,,M,Indian,Indian,https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?cid=64125&candidateid=1589330&lang=en-US&pamphletson=true,,2021,,
Radhakrishna Mohan ,NY,Local,Borough President,Staten Island Borough ,Borough President,,Legis,,D,D,Open Seat,No,James Oddo,R,6/22/2021,Lost,11/2/2021,Not in General,,M,Indian,Indian,https://mohanforbp.com/,,2021,,
Sanjeev Jindal,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Indian,Indian,http://sanjeevkjindal.com/,,2021,,
Harpreet Singh Toor,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/2/2021,Not in General,,M,"Indian,Punjabi","Indian,Punjabi",https://www.toorforcitycouncil.com/,,2021,,
Japneet Singh,NY,Local,City Council,New York City Council,Councilmember,District 28,Legis,,D,D,Challenger,Yes,Adrienne Adams,D,6/22/2021,Lost,11/2/2021,Not in General,,M,"Indian,Punjabi","Indian,Punjabi",https://www.instagram.com/japneetsinghforny/?hl=en,,2021,,
Tali Farhadian Weinstein,NY,Local,District Court,County,District Attorney,Manhattan ,Judicial,,D,D,Open Seat,No,Cyrus Vance Jr. ,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Iranian ,Iranian ,https://www.taliforda.com/meet-tali/,not using ranked-choice voting ,2021,,
Jeffrey Omura,NY,Local,City Council,New York City Council,Councilmember,District 6,Legis,,D,D,Open Seat,No,Helen Rosenthal,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Japanese,Japanese,https://www.jeffreyomura.com/,,2021,,
Tricia Shimamura,NY,Local,City Council,New York City Council,Councilmember,District 5,Legis,,D,D,Open Seat,No,Ben Kallos,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Japanese and Puerto Rican,Japanese and Puerto Rican,https://triciaforny.nyc/,,2021,,
"Heajin ""Hailie"" Kim",NY,Local,City Council,New York City Council,Councilmember,District 26,Legis,,D,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Korean,Korean,https://hailiekimforcitycouncil.com/,,2021,,
John Choe,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Korean,Korean,http://johnchoe.nyc/,,2021,,
Richard Lee,NY,Local,City Council,New York City Council,Councilmember,District 19,Legis,,D,D,Open Seat,No,Paul Vallone,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Korean,Korean,https://richardleeforcitycouncil.com/,,2021,,
Jhong Kim,NY,Local,Borough President,Staten Island Borough,Borough President,,Legis,,R,R,Open Seat,No,James Oddo,R,6/22/2021,Lost,11/2/2021,Not in General,,M,Korean,Korean,https://twitter.com/kim_uhk?lang=en,,2021,,
April Somboun,NY,Local,City Council,New York City Council,Councilmember,District 33,Legis,,D,D,Open Seat,No,Stephen Levin,D,6/22/2021,Lost,11/2/2021,Not in General,,F,,Laotian,https://www.aprilsomboun.com/,,2021,https://rampanews.com/interview-with-nyc-council-district-33-candidate-april-somboun/,
Nabaraj KC,NY,Local,City Council,New York City Council,Councilmember,District 19,Legis,,D,D,Open Seat,No,Paul Vallone,D,6/22/2021,Lost,11/2/2021,Not in General,,M,,Nepali,https://www.nabaraj2021.com/,Nepal,2021,https://www.linkedin.com/in/nabaraj-kc-6487b07/,
Fatima Baryab,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,D,Open Seat,No,Danny Dromm,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Pakistani,Pakistani,https://twitter.com/fatimaforny,,2021,,
Jaslin Kaur,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Punjabi,Punjabi,http://jaslinkaur.nyc/,,2021,,
Amit Singh Bagga,NY,Local,City Council,New York City Council,Councilmember,District 26 #2,Legis,,D,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/2/2021,Not in General,,M,,South Asian,https://amitforcouncil.com/,,2021,https://directory.runforsomething.net/candidate/1451/bagga-amit,
Ellen Young,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Taiwanese,Taiwanese,https://www.ellenforny.com/,first Asian woman elected to the New York State Legislature,2021,,
Neng Wang,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Taiwanese,Taiwanese,https://www.wangforflushing.com/about-wang/,,2021,,
Alex Pan,NY,Local,Comptroller,New York City Comptroller,Comptroller,,Legis,,D,D,Open Seat,No,Scott Stringer,D,6/22/2021,Lost,11/2/2021,Not in General,,M,"Taiwanese,Chinese","Taiwanese,Chinese",https://www.panfornyc.com/,youngest person to every make city-wide ballot (18),2021,,
Carolyn Tran,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,D,Open Seat,No,Danny Drom,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Vietnamese,Vietnamese,https://www.carolyntran.us/,,2021,,
Winton Tran,NY,Local,City Council,New York City Council,Councilmember,District 47,Legis,,D,D,Open Seat,No,Mark Treyger,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Vietnamese,Vietnamese,https://www.facebook.com/wintontran4citycouncil/,,2021,,
Isaac Wang,CA,Local,City Council,San Diego City Council,Councilmember,District 5,Legis,,D,D,?,?,,,,Lost,11/3/2020,Not in General,,M,Chinese,Chinese,,,,,
Dorothy Chou Proudfoot,CA,Local,Superior Court,San Francisco Superior Court,Judge,Seat 18,Judicial,,N,N,?,?,,,3/3/2020,Lost,,Not in General,,F,Chinese,Chinese,,,,,
"Maricar ""Rica"" Andrade",NV,Local,District Court,Nevada 8th Judicial District Court Family Division,Judge,Department Y,Judicial,,D,D,Open Seat,No,,,6/9/2020,Lost,11/3/2020,Not in General,,F,Filipino,Filipino,,,,,
Lisa Motoyama,CA,Local,City Council,El Cerrito City Council,Councilmember,,Legis,,D,D,Open Seat,,,,,Lost,,,,F,,Japanese,,,,Based on last namehttps://www.lisaforelcerrito.com/meet_lisa,
Mony Nop,OR,Local,City Council,Livermore City Council,Mayor,,Exec,,,,,,,,,n/a,11/3/2020,Lost,,M,Cambodian,Cambodian,https://monyformayor.com/,,2020,,
Han Zou,CA,Local,City College Board,City College of San Francisco,Trustee,,,,,,,,,,,n/a,11/3/2020,Lost,6.90%,M,Chinese,Chinese,https://www.hanforsf.com/,,2020,,
Govind Tatachari,CA,Local,Board of Education,Foothill-De Anza Community College District Board of Trustees,Board Member,,Legis,,,,Challenger,Yes,"Peter Landsberger, Laura Casas, Gilbert Wong",,,n/a,11/3/2020,Lost,14.00%,M,Indian,Indian,https://govind4fhda.com/,,2020,,
Gayatri Agnew,AR,Local,City Council,Bentonville City Council,Councilmember,Ward 1,Legis,,,,Challenger,No,Chad Goss,,,n/a,11/3/2020,Lost,,F,,South Asian,,,2020,,
David Lee,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,N,?,?,,,,n/a,11/3/2020,Lost,,M,,Chinese,,,,,
Ross Chun,CA,Local,City Council,Aliso Viejo City Council,Councilmember,,Legis,,N,N,?,?,,,,n/a,11/3/2020,Lost,,M,,East Asian,,,,,
Arun Goel,CA,Local,City Council,Dublin City Council,Mayor,,Legis,,,,,,,,,n/a,11/3/2020,Lost,38.00%,M,,Indian,https://www.arungoelformayor.com/,,,,
Harbir Bhatia,CA,Local,City Council,Santa Clara City Council,Councilmember,District 1,Legis,,N,N,Challenger,Yes,Kathy Watanabe,N,,n/a,11/3/2020,Lost,,F,,Indian,,,,Sikh,
Pranav Nanda,DC,Local,,Advisory Neighborhood Commission,ANC Representative,6C04,Legis,,N,N,Challenger,?,,,,n/a,11/3/2020,Lost,,M,Indian,Indian,,,,,
Sarah Mehrotra,DC,Local,Board of Education,D.C. Board of Education,Board Member,Ward 2,,,N,N,Open Seat,No,Jack Jacobson,N,,n/a,11/3/2020,Lost,,F,Indian,Indian,,,,,
Dinesh Govindarao,CA,Local,City Council,San Ramon City Council,Mayor,,Legis,,,,,No,Bill Clarkson,,,n/a,11/3/2020,Lost,15.00%,M,,South Asian,,,,"In Unprecedented Moment, Five South Asian Americans Vie for San Ramon, California, Mayor?s Seat | Global Indian | indiawest.com",
Mike Chang,CA,Local,School District,Berkeley Unified School District Board,Board Member,,,,,,Open Seat,,,,,n/a,11/3/2020,Lost,,M,Taiwanese,Taiwanese,https://runwithmikechang.com/,,,,
Lan Diep,CA,Local,City Council,San Jose City Council,Councilmember,District 4,Legis,,D,D,Incumbent,,,,,n/a,11/3/2020,Lost,,M,Vietnamese,Vietnamese,,,,,
Gilbert Wong,CA,Local,Board of Education,Foothill-De Anza Community College District Board of Trustees,Board Member,,Legis,,,,Incumbent,Yes,"Peter Landsberger, Laura Casas, Gilbert Wong",,,n/a,11/3/2020,Won,,M,Chinese,Chinese,https://gilbertswong.com/,,2020,,
Anders Fung,CA,Local,City Council,Millbrae City Council,Council Member,At-Large,Legis,,,,?,?,,,,n/a,11/3/2020,Won,19.00%,M,Chinese,Chinese,https://andersfung.org/,,2020,,
Sanjay Dave,CA,Local,Board of Education,Mountain View Los Altos Union High School Board,Board Member,,Legis,,,,Challenger,Yes,"Phil Faillace, Sanjay Dave",,,n/a,11/3/2020,Won,,M,Indian,Indian,http://www.sanjay4mvla.com/,,2020,,
YK Chalamcherla,CA,Local,County Council,Folsom City Council,Councilmember,,Legis,,,N,Open Seat,No,,,,n/a,11/3/2020,Won,,M,Indian,Indian,http://electyk.com/,,2020,Election Q&A with Folsom City Council candidate YK Chalamcherla | Gold Country Media,
Tammy Kim,CA,Local,City Council,Irvine City Council,Councilmember,At-Large,Legis,,,,Open Seat,,,,,n/a,11/3/2020,Won,14.80%,F,Korean,Korean,https://www.tammykim.com/,,2020,,
Alan Wong,CA,Local,City College Board,City College of San Francisco,Trustee,,,,,,,,,,,n/a,11/3/2020,Won,11.40%,M,Chinese,Chinese,https://www.votealanwong.com/,,,,
Sridhar Verose,CA,Local,City Council,San Ramon City Council,Councilmember,District 3,Legis,,,,,,,,,n/a,11/3/2020,Won,46.00%,M,,Indian,,,,Sridhar Versose first Indian American on San Ramon city council - Indica news,
Jason Morimoto,CA,Local,School District,Las Lomitas Elementary School District Board,Board member,,Legis,,N,N,?,,,,,n/a,11/3/2020,Won,,M,Japanese,Japanese,,,,,
Kevin Hayakawa,CA,Local,City Council,Walnut Valley Water District Board of Directors,Board member,Division 4,,,,,,,,,,n/a,11/3/2020,Won,,M,Japanese,Japanese,,,,,
Farrah Khan,CA,Local,City Council,Irvine City Council,Mayor,,Exec,,N,N,Challenger,Yes,Christina Shea,N,,n/a,11/3/2020,Won,,F,Pakistani,Pakistani,,,,,
Allister Chang,DC,Local,School District,DC School Board,Board member,Ward 2,Legis,,,,,,,,,n/a,11/3/2020,Won,,M,Taiwanese,Taiwanese,,,,,
Grace Mah,CA,Local,Board of Education,Santa Clara County Board of Education,Board Member,Trustee Area 1,Legis,,,,Incumbent,Yes,Grace Mah,,,n/a,11/3/2020,,,F,,Chinese,https://www.gracemah2020.org/,,2020,Full Biography for Grace H. Mah (smartvoter.org),
Jane Chen Lombard,CA,Local,Healthcare District Director,El Camino Healthcare District,Director,,Legis,,,,Challenger,Yes,"John Zoglin, Julia E. Miller",,,n/a,11/3/2020,,,F,Chinese,Chinese,https://www.lombard4communityhealth.com/,,2020,,
Jeanette Quick,CA,Local,City College Board,City College of San Francisco,Trustee,,,,,,,,,,,n/a,11/3/2020,,,F,,Vietnamese,https://votejeanette.com/,Alum of Summer Leadership Academy,2020,PIVOT's Endorsement of Jeanette Quick for San Francisco Community College Board ? PIVOT - The Progressive Vietnamese American Organization (pivotnetwork.org),
Rachel Hernandez,CA,Local,City Council,Riverbank City Council,Councilmember,District 2,Legis,,,,,,,,,n/a,11/3/2020,,,F,Vietnamese,Vietnamese,https://riverbanknow.com/,,2020,,
Sharmin Shahjahan,IL,Local,Board of Trustees,Hanover Park Board of Trustees,Trustee,Hanover Park,Legis,,,,Incumbent,Yes,Sharmin Shahjahan,,,n/a,11/3/2020,,,F,Bangladeshi,Bangladeshi,https://www.facebook.com/sharminkshahjahan/,,2021,,
Mujib Rahman,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,D,Open Seat,No,Rory Lancman,D,6/22/2021,n/a,11/3/2021,,,M,Bangladeshi ,Bangladeshi ,https://www.qchron.com/editions/queenswide/rahman-s-conservative-bid-for-city-council/article_45b813e9-dadd-5413-86a4-9dc24537e358.html,the primary was cancelled ,2021,,
Suraj Jaswal,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,D,Open Seat,No,Danny Dromm,D,6/22/2021,n/a,11/3/2021,,,M,Indian,Indian,https://www.suraj25.com,,2021,,
Yu-Ching Pai,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,R,R,Open Seat,No,Peter Koo,D,6/22/2021,n/a,11/2/2021,,,M,Taiwanese,Taiwanese,https://www.nycvotes.org/campaigns/yu-chingpai/contributions/new,conservative primary cancelled for this district,2021,,
Connie Chan,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,N,?,?,,,,n/a,11/3/2020,,,F,,Chinese,,,,About | Connie Chan for San Francisco Supervisor District 1 (conniechansf.com),
Sherry Hu,CA,Local,City Council,Dublin City Council,Councilmember,,Legis,,,,,,,,,n/a,11/3/2020,,,F,,Chinese,https://www.sherryhu.com/meetdrsherry,,,Sherry Hu wants to bring 'pragmatic' solutions to Dublin City Council | News | PleasantonWeekly.com |,
Marjan Philhour,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,N,?,?,,,,n/a,11/3/2020,,,F,,Filipino,,,,Meet Marjan ? Marjan for Supervisor (votemarjan.com),Filipino and Iran
Aparna Madireddi,CA,Local,City Council,San Ramon City Council,Mayor,,Legis,,,,,No,Bill Clarkson,,,n/a,11/3/2020,,,F,Indian,Indian,https://www.aparnaforsanramon.com/,,,,
Veronica Shinzato,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,N,?,?,,,,n/a,11/3/2020,,,F,,Mixed,,,,Veronica Shinzato ? ? ? (@VeronicaShinza1) / Twitter,
Aliya Chisti,CA,Local,City College Board,City College of San Francisco,Trustee,,Legis,,N,N,,,,,,n/a,11/3/2020,,,F,,Muslim,,,,,
Sabina Zafar,CA,Local,City Council,San Ramon City Council,Mayor,,Legis,,,,,No,Bill Clarkson,,,n/a,11/3/2020,,,F,Pakistani,Pakistani,https://www.sabinazafar.org/,,,,
Ravinder Bhalla,NJ,Local,City Council,Hoboken City Council,Mayor,,Legis,,N,N,Incumbent,Yes,Ravinder Bhalla,N,,Unopposed,11/2/2021,Won,,M,,Sikh,,,,https://en.wikipedia.org/wiki/Ravinder_Bhalla,
Chanda Choun,VA,Local,County Council,Arlington County Board,Councilmember,,Legis,,D,D,Challenger,Yes,Libby Garvey,D,7/9/2020,Withdrew,11/3/2020,Not in General,,M,Cambodian,Cambodian,https://chandachoun.com/,,2020,,
Ilryong Moon,VA,Local,School District,Fairfax County School Board At-Large,Board Member,At-Large,,,I,I,Incumbent,Yes,Ilryong Moon,I,,Withdrew,,Not in General,,M,Korean,Korean,http://www.moon4schools.com/,,2020,,
Whitney Hu,NY,Local,City Council,New York City Council,Councilmember,District 38,Legis,,D,D,Open Seat,No,Carlos Menchaca,D,6/22/2021,Withdrew,11/3/2021,Not in General,,F,Chinese,Chinese,https://www.hu2021.com/home/#meetwhitney,,2021,,
David Ryu,CA,Local,City Council,Los Angeles City Council,Councilmember,District 4,Legis,,N,N,Incumbent,Yes,David Ryu,N,3/3/2020,Won,11/3/2020,Lost,47.30%,M,Korean,Korean,,,2020,,
Grace Yoo ,CA,Local,County Council,Los Angeles City Council ,Councilmember,District 10,Legis,,N,N,Challenger,Yes,Herb Wesson ,D,3/3/2020,Won,11/3/2020,Lost,38.70%,F,,Korean,https://www.graceyoocd10.com/,,2020,,
Kansen Chu,CA,Local,County Board of Supervisors,Santa Clara County Board of Supervisors, Supervisor ,District 3,Legis,,D,D,Open Seat,No,Dave Cortese ,D,3/3/2020,Won,11/3/2020,Lost,39.80%,M,,Taiwanese,https://www.chuforsupervisor.com/?fbclid=IwAR1AM7FCLaSaHMOsYhDDTvCjehp05zmz8AeZVyurzfcRNGSVCFfzndnWreQ,,2020,,
Faye Yang,WA,Local,School District,Bellevue School District No. 405,Boardmember,District 3,Legis,,,,Open Seat,No,Erica Melief,,8/3/2021,Won,11/2/2021,Lost,31.70%,F,Chinese,Chinese,yang4bsd.com,,2021,,
Jesse Tam,WA,Local,City Council,Newcastle City Council,Councilmember,Position 7,Legis,,,,Open Seat,No,Tom Magers,,8/3/2021,Won,11/2/2021,Lost,44.00%,M,,Chinese,https://www.votejessetam.com/endorsements,,2021,https://www.linkedin.com/in/jessetam/,
Dexter Borbe,WA,Local,City Council,Bellevue City Council,Councilmember,Position 2,Legis,,D,D,Challenger,Yes,Conrad Lee,R,8/3/2021,Won,11/2/2021,Lost,45.00%,M,Filipino,Filipino,,,2021,,
Frank Irigon,WA,Local,City Council,Newcastle City Council,Councilmember,Position 9,Legis,,,,Open Seat,No,,,8/3/2021,Won,11/2/2021,Lost,49.80%,M,Filipino,Filipino,,,2021,,
Leandra Craft,WA,Local,City Council,Federal Way City Council,Councilmember,Position 5,Legis,,D,D,Incumbent,,,,8/3/2021,Won,11/2/2021,Lost,49.60%,F,,Filipino,https://www.leandracraft.com,Craft running for WA State House seat (nwasianweekly.com),2021,,
Renae Seam,WA,Local,City Council,Federal Way City Council,Councilmember,Position 6,Legis,,D,D,Challenger,Yes,Martin A. Moore,,8/3/2021,Won,11/2/2021,Lost,48.00%,F,,Indian,https://www.electrenaeseam.com,,2021,https://federalwayhighline.ciswa.org/person/renae-seam/,
Mike Curry,WA,Local,City Council,Mercer Island City Council,Councilmember,Position 4,Legis,,,,Challenger,Yes,Lisa Anderl,,8/3/2021,Won,11/2/2021,Lost,45.80%,M,,Mixed,,,2021,https://www.mi-reporter.com/news/curry-files-to-run-for-mercer-island-city-council/,
Felicia Singh,NY,Local,City Council,New York City Council,Councilmember,District 32,Legis,,D,D,Open Seat,No,Eric Ulrich,R,6/22/2021,Won,11/3/2021,Lost,31.40%,F,Punjabi,Punjabi,https://www.felicia2021.com/,,2021,,
Han Tran,WA,Local,City Council,Bothell City Council,Councilmember,Position 1,Legis,,D,D,Open Seat,No,,,8/3/2021,Won,11/2/2021,Lost,47.70%,F,Vietnamese,Vietnamese,www.Han4Bothell.com,,2021,,
Tyann Nguyen,WA,Local,School District,Shoreline School District No. 412,Boardmember,District 2,Legis,,,,Challenger,Yes,Emily Williams,,8/3/2021,Won,11/2/2021,Lost,35.20%,F,Vietnamese,Vietnamese,,,2021,,
Anh Vo,WA,Local,City Council,Sammamish Plateau Water & Sewer District,Commissioner,Position 3,Legis,,,,Open Seat,No,Nav Otal,,8/3/2021,Won,11/2/2021,Lost,20.80%,F,,,,,2021,,
Vishal Misri,WA,Local,School District,Lake Washington School District No. 414,Boardmember,District 4,Legis,,,,Open Seat,No,Mark Stuart,,8/3/2021,Won,11/2/2021,Lost,40.00%,M,,,https://electvishal.com,,2021,,
Max Shih Tse Chang,UT,Local,School District,Granite District School Board,Board member,Seat 1,Legis,,,,,,,,6/30/2020,Won,11/3/2020,Lost,42.40%,M,Taiwanese,Taiwanese,,,,,
Fanny Fang,KS,Local,County Board of Commissioners,Riley Country Commission,County Commissioner,District 2 ,Legis,,,,Challenger,,,,,Won,11/3/2020,Not in General,,F,,Chinese,https://m.facebook.com/fangforriley,,,Fang for Riley County-Who is Fanny Fang?,
